source_code,name,type,area
80101220,COL. LAS PALMAS,colony,
80101221,COL. LAS PAVAS,colony,
80101222,COL. LAS TORRES,colony,
80101431,COL. LAS VEGAS,colony,
80101223,COL. LAS VEGAS DEL CARRIZAL,colony,
80101224,COL. LAS VEGAS DEL COUNTRY,colony,
80101433,COL. LAS VEGAS DE LA FLOR DEL CAMPO,colony,
80101434,COL. LAS VEGAS DEL RIO,colony,
80101435,COL. LAS VEGAS DEL FECESITLICH,colony,
80101225,COL. LINCON,colony,
80101226,COL. LINDA VISTA O PLANES DEL,colony,
80101227,COL. LINTON,colony,
80101436,COL. LOARQUE SUR,colony,
80101638,COL. LOLO,colony,
80101228,COL. LOMA LAS MINITAS,colony,
80101229,COL. LOMA LINDA NORTE,colony,
80101230,COL. LOMA LINDA SUR,colony,
80101299,COL. LOMAS DE JACALEAPA,colony,
80101703,COL. LOMAS DEL NABU,colony,
80101645,COL. LOMAS DEL TISATILLO,colony,
80101633,COL. LOMAS DE TONCONTIN,colony,
80101232,COL. LOMAS DEL CORTIJO,colony,
80101233,COL. LOMAS DEL COUNTRY,colony,
80101235,COL. LOMAS DEL GUIJARRO SUR,colony,
80101236,COL. LOMAS DEL MAYAC O PROFESI,colony,
80101237,COL. LOMAS DEL NORTE,colony,
80101541,COL. LOMITAS DE SUYAPA,colony,
80101238,COL. LOS ALMENDROS,colony,
80101240,COL. LOS CENTENOS,colony,
80101241,COL. LOS GIRASOLES,colony,
80101437,COL. LOS MOLINOS ( PROYECTO),colony,
80101242,COL. LOS OLMOS,colony,
80101243,COL. LOS PERIODISTAS,colony,
80101244,COL. LOS PINOS,colony,
80101245,COL. LOS PROCEDERES,colony,
80101293,COL. LOS PROFESORES,colony,
80101247,COL. LOS SORZALES NO. 1,colony,
80101438,COL. LUIS CORDOVA O CAPRISA,colony,
80101250,COL. MARADIAGA,colony,
80101439,COL. MARIA CRISTINA,colony,
80101251,COL. MARICHAL,colony,
80101252,COL. MATAMOROS,colony,
80101254,COL. MELGAR CASTRO,colony,
80101661,COL. MILENIUM SUR,colony,
80101255,COL. MIRADOR DE LOARQUE,colony,
80101263,COL. MIRADOR DE ORIENTE,colony,
80101256,COL. MIRADOR DE SAN ISIDRO,colony,
80101257,COL. MIRAFLORES,colony,
80101258,COL. MIRAFLORES SUR,colony,
80101259,COL. MIRAMONTES,colony,
80101260,COL. MODELO,colony,
80101261,COL. MODESTO RODAS ALVARADO,colony,
80101264,COL. MONTELIMAR,colony,
10000019,COL. MONTERREY,colony,
80101266,COL. MONTERREY NORTE,colony,
80101441,COL. NUEVO AMANECER,colony,
80101442,COL. NUEVA DANLI,colony,
80101269,COL. NUEVA ERA,colony,
80101452,COL. NUEVA ESPANA,colony,
80101270,COL. NUEVA ESPERANZA,colony,
80101655,COL. NUEVA GALILEA,colony,
80101713,COL. NUEVA JERUSALEN,colony,
80101637,COL. NUEVA ORIENTAL,colony,
80101443,COL. NUEVA OROCUINA,colony,
80101271,COL. NUEVA PROVIDENCIA,colony,
80101272,COL. NUEVA SANTA ROSA,colony,
80101273,COL. NUEVA SUYAPA,colony,
80101274,COL. NUEVAS DELICIAS,colony,
80101275,COL. NUEVO LOARQUE,colony,
80101276,COL. NUEVOS HORIZONTES,colony,
80101277,COL. OBRERA,colony,
80101279,COL. OSCAR A FLORES,colony,
80101444,COL. OSCAR CASTRO TEJEDA,colony,
80101280,COL. PALERMO,colony,
80101281,COL. PALMIRA,colony,
80101445,COL. PARCALTAGUA,colony,
80101282,COL. PAYAQUI,colony,
80101283,COL. PEDREGAL DE SAN JOSE,colony,
80101284,COL. PEREZ,colony,
80101286,COL. PLAN DE LOS PINOS,colony,
80101287,COL. POLICARPO PAZ GARCIA,colony,
80101446,COL. PREDIOS DEL RECREO,colony,
80101447,COL. PUEBLO NUEVO,colony,
80101289,COL. QUEZADA,colony,
80101448,COL. RAMON LEONARDO CALLEJAS,colony,
80101615,COL. RAMON AMADOR,colony,
80101449,COL. RAMON AMAYA AMADOR NO.1,colony,
80101291,COL. REPARTO MANDOFER,colony,
80101622,COL. REPARTO POR ARRIBA,colony,
80101306,COL. REPUBLICA DE VENEZUELA,colony,
80101498,COL. RES. AEREOPUERTO,colony,
80101453,COL. RES. ALTA VISTA,colony,
80101292,COL. RES. ALTOS DE LAS COLINAS,colony,
80101454,COL. RES. ALTOS DEL TRAPICHE,colony,
80101455,COL. RES. ATLANTIS,colony,
80101456,COL. RES. BUENA VISTA,colony,
80101457,COL. RES. CENTRO AMERICA ESTE,colony,
80101460,COL. RES. EL JARDIN,colony,
80101461,COL. RES. FRANCISCO MORAZAN,colony,
80101462,COL. RES. GRACIAS A DIOS,colony,
80101463,COL. RES. LA HONDURAS,colony,
80101196,COL. RES. LA CANADA,colony,
80101464,COL. RES. LA HACIENDA,colony,
80101298,COL. RES. LARA NORTE,colony,
80101296,COL. RES. LAS COLINAS,colony,
80101465,COL. RES. LAS HADAS,colony,
80101297,COL. RES. LAS JOYAS,colony,
80101466,COL. RES. LAS VEGAS,colony,
80101468,COL. RES. LEMPIRA,colony,
80101469,COL. RES. LOMA ALTA,colony,
80101470,COL. RES. LOMAS DE SAN JOSE,colony,
80101473,COL. RES. LOS MANGOS,colony,
80101474,COL. RES. LUINIZA,colony,
80101249,COL. RES. LUIS LANDA,colony,
80101475,COL. RES. MAYA,colony,
80101476,COL. RES. MAYA CENTRO,colony,
80101300,COL. RES. MONTE CARLOS,colony,
80101301,COL. RES. MONTE CARMELO,colony,
80101477,COL. RES. MONTE VERDE,colony,
80101302,COL. RES. PINARES,colony,
80101478,COL. RES. PRADOS UNIVERSITARIO,colony,
80101479,COL. RES. RIO ALTO,colony,
80101480,COL. RES. SANTA MARIA,colony,
80101471,COL. RES. TONCONTIN,colony,
80101304,COL. RES. VILLA DELMY,colony,
80101482,COL. RES. VILLA UNIVERSITARIA,colony,
80101483,COL. RES. PUERTO DE SOL,colony,
80101484,COL. RESIDENCIAL LA CAÑADA,colony,
80101485,COL. RESIDENCIAL PLAZA,colony,
8014603,COL. REYNIEL FUNEZ,colony,
80101307,COL. RIO GRANDE NORTE,colony,
80101308,COL. RIO GRANDE SUR,colony,
80101673,COL. RIO HONDO,colony,
80101309,COL. RIVAS,colony,
80101486,COL. RIVERA DE LA VEGA,colony,
80101310,COL. ROBERTO SUAZO CORDOVA,colony,
80101312,COL. RODRIGUEZ,colony,
80101487,COL. ROMA O COVIDEPROL,colony,
80101313,COL. ROSA LINDA,colony,
80101314,COL. RUBEN DARIO,colony,
80101315,COL. SABANAGRANDE,colony,
80101316,COL. SAGASTUME NO. 1,colony,
80101317,COL. SAN ANGEL,colony,
80101318,COL. SAN BUENA VENTURA,colony,
80101319,COL. SAN CARLOS,colony,
80101320,COL. SAN FRANCISCO,colony,
80101719,COL. SAN JORGE,colony,
80101321,COL. SAN JOSE,colony,
80101489,COL. SAN JOSE DE LA MONTAÑA,colony,
80101322,COL. SAN JOSE DE LA PEÑA,colony,
80101323,COL. SAN JOSE DE LA VEGA,colony,
80101490,COL. SAN JOSE DEL LOARQUE,colony,
80101303,COL. SAN JOSE DE LOS LLANOS,colony,
80101491,COL. SAN JUAN BOSCO,colony,
80101325,COL. SAN JUAN DEL NORTE NO. 2,colony,
80101324,COL. SAN JUAN DEL NORTE NO.1,colony,
80101327,COL. SAN LORENZO,colony,
80101326,COL. SAN LUIS,colony,
80101328,COL. SAN MARTIN,colony,
80101329,COL. SAN MIGUEL,colony,
80102035,COL. SAN MIGUEL ARCANGEL,colony,
80101380,COL. SAN RAFAEL,colony,
80101330,COL. SANTA ANITA O EL QUEBRACH,colony,
80101331,COL. SANTA BARBARA,colony,
80101332,COL. SANTA CECILIA NO.1,colony,
80101706,COL. SANTA CRUZ,colony,
80101087,COL. SANTA EDUVIGES,colony,
80101333,COL. SANTA FE,colony,
80101334,COL. SANTA ISABEL,colony,
80101336,COL. SANTA ISABEL NO.2,colony,
80101494,COL. SANTA ISABEL O PALMAS OESTE,colony,
80101337,COL. SANTO DOMINGO,colony,
80101658,COL. SARAHENLA,colony,
80101338,COL. SATELITE,colony,
80101339,COL. SEMPE,colony,
80101340,COL. SMITH NO. 1,colony,
80101341,COL. SMITH NO. 2,colony,
80101342,COL. SOTO,colony,
80101370,COL. SUNLACAL,colony,
80101495,COL. SUPERACION,colony,
80101496,COL. SUYAPITA,colony,
80101343,COL.TEPEYAC,colony,
80101497,COL. TILOARQUE,colony,
80101345,COL. TOROCAGUA,colony,
80101348,COL. TRES CAMINOS,colony,
80101349,COL. TRES DE MAYO,colony,
80101656,COL. UNIDAD Y FUERZA,colony,
80101499,COL. VENECIA,colony,
80101717,COL. VENEZUELA,colony,
8014501,COL. VIA VICTORIA,colony,
80101355,COL. VICTOR F. ARDON,colony,
80101356,COL. VIEJA SANTA ROSA,colony,
80101357,COL. VIERA,colony,
80101705,COL. VILLA ALCALDIA,colony,
80101676,COL. VILLA CAMPESINA,colony,
80101500,COL. VILLA CENTRO AMERICA,colony,
80101501,COL. VILLA CENTRO AMERICANA,colony,
80101678,COL. VILLA CRISTINA,colony,
80101669,COL. VILLA DE ORIENTE,colony,
80101359,COL. VILLA DELMY,colony,
80101305,COL. VILLA ESPANOLA,colony,
80101360,COL. VILLA FRANCA,colony,
80101361,COL. VILLA LOS LAURELES,colony,
80101503,COL. VILLA LOS REYES,colony,
80101642,COL. VILLA MORALES,colony,
80101504,COL. VILLA NELITA,colony,
80101634,COL. VILLA NUEVA,colony,
80101362,COL. VILLA NUEVA NORTE,colony,
80101363,COL. VILLA NUEVA SUR,colony,
80101367,COL. VILLA NUEVA SUYAPA,colony,
80101665,COL. VILLA OLIMPICA,colony,
10000050,COL. VILLA ROSALIA,colony,
80101364,COL. VILLA SAN ANTONIO O BOQUE,colony,
80101505,COL. VILLA SAN CARALAMPIO,colony,
80101585,VILLA SAN ROQUE,other,
80101614,COL. VILLA SANTA CLARA,colony,
80101506,COL. VILLA UNION,colony,
80101631,COL. VILLA VIEJA,colony,
80101507,COL. VILLAS DEL RIO,colony,
80101679,COL. VILLEDA MORALES,colony,
80101508,COL. VISTA HERMOSA,colony,
80101368,COL. ZAPOTE CENTRO,colony,
80101369,COL. ZAPOTE NORTE,colony,
80101531,COL. ZONA MIRAFLORES SUR,colony,
80101510,COL.. LOMAS DE MIRAFLORES SUR,colony,
80101381,COL.1ERO DE DICIEMBRE,colony,
80101533,COL.ALTOS DE LA JOYA,colony,
80101575,COL.ALTOS DE LA LAGUNA,colony,
80101106,COL.ALTOS DE SAN FRANCISCO,colony,
80101562,COL.ALTOS DEL PARAISO NO. 2,colony,
80101511,COL.ARCIERI,colony,
80101577,COL.ARCIERI NO. 2,colony,
80101525,COL.ARMANDO CALIDONIO,colony,
80101578,COL.AURORA NO. 2,colony,
